cantica;canto;cum_verse_number;verse_number;verse_start;verse_end;text;author;style;temperature;prompt
1;1;26;26;26;26;Si voltò indietro per guardare il passo.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;27;27;27;27;che non ha mai lasciato nessuno vivo.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;28;28;28;28;Dopo aver riposato un po' il corpo stanco,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;29;29;29;29;Ho ripreso la strada lungo la spiaggia deserta.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;30;30;30;30;Il piede fermo era sempre il più basso.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;31;31;31;31;E così, quasi all'inizio della salita,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;32;32;32;32;Una lonza agile e veloce.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;33;33;33;33;che era coperta di pelliccia maculata;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;34;34;34;34;e non mi si allontanava davanti agli occhi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;35;35;35;35;In realtà bloccava molto la mia strada.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;36;36;36;36;Che ero tornato più volte.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;37;37;37;37;Era mattina presto,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;38;38;38;38;Il sole saliva in alto insieme alle stelle.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;39;39;39;39;che l’alto riso di lor vista torse.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;40;40;40;40;ha iniziato a spostare le cose belle;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;41;41;41;41;Sì che mi dava motivo di sperare nel meglio.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;42;42;42;42;della selvaggina con la pelle maculata;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;43;43;43;43;Il momento del tempo e la bella stagione;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;44;44;44;44;ma non tanto da non farmi avere paura;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;45;45;45;45;la visione di un leone che mi è apparsa.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;46;46;46;46;Sembra che stesse venendo contro di me.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;47;47;47;47;con la testa alta e con una fame furiosa.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;48;48;48;48;Sembra che l'aria tremasse a causa di ciò.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;49;49;49;49;E una lupa, desiderosa di tutto;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;50;50;50;50;Sembrava molto magro.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;51;51;51;51;Molte persone hanno già vissuto momenti difficili.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;52;52;52;52;Questa mi causò molta preoccupazione.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;53;53;53;53;con la paura che esce dai suoi occhi,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;54;54;54;54;Ho perso la speranza di raggiungere altezze elevate.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;55;55;55;55;E chi è quello che compra volentieri,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;56;56;56;56;Arriva il momento in cui lo fa perdere.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;57;57;57;57;che piange e si rattrista in tutti i suoi pensieri;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;58;58;58;58;La bestia mi ha reso così inquieto.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;59;59;59;59;che, incontrandomi, lentamente;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;60;60;60;60;Mi spingeva là dove il sole non brilla.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;61;61;61;61;Mentre stavo cadendo in un posto basso,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;62;62;62;62;mi è apparso davanti agli occhi;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;63;63;63;63;Chi sembrava debole a causa del lungo silenzio.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;64;64;64;64;Quando lo vidi in quel vasto deserto,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;65;65;65;65;Ho implorato pietà da lui, ho gridato.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;66;66;66;66;Qualunque cosa tu sia, sia un'ombra o un uomo certo!;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;67;67;67;67;Mi rispose: Non sono più un uomo, ma lo sono stato in passato.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;68;68;68;68;I miei parenti erano lombardi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;69;69;69;69;mantoani per la patria entrambi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;70;70;70;70;Sono nato sotto Giulio, anche se era tardi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;71;71;71;71;e ho vissuto a Roma durante il regno del buono Augusto.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;72;72;72;72;Nell'epoca degli dei falsi e bugiardi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;73;73;73;73;Ero un poeta e ho cantato del giusto.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;74;74;74;74;Il figlio di Anchise che proveniva da Troia.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;75;75;75;75;dopo che la superba Troia fu distrutta.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;76;76;76;76;Perché stai tornando a tanto fastidio?;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;77;77;77;77;Perché non sali la montagna piacevole;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;78;78;78;78;Qual è l'origine e la causa di tutta la felicità?;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;79;79;79;79;Sei tu Virgilio e quella fonte ora;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;80;80;80;80;Perché parli così tanto?;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;81;81;81;81;Io risposi a lui con faccia vergognosa.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;82;82;82;82;Onore e luce degli altri poeti.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;83;83;83;83;Mi aiuti lo studio lungo e l'amore grande.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;84;84;84;84;che mi ha spinto a cercare il tuo libro.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;85;85;85;85;Tu sei il mio insegnante e il mio creatore.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;86;86;86;86;Tu sei l'unico da cui ho preso.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;87;87;87;87;Il bellissimo stile che mi ha fatto onore.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;88;88;88;88;Guarda la bestia per cui mi sono voltato.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;89;89;89;89;Mi aiuti, famoso saggio.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;90;90;90;90;Mi fa tremare le vene e i polsi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;91;91;91;91;Dovresti fare un altro viaggio.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;92;92;92;92;rispose, dopo avermi visto piangere,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;93;93;93;93;se vuoi sopravvivere in questo luogo selvaggio;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;94;94;94;94;per lo quale stai urlando,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;95;95;95;95;Non permette agli altri di passare per la sua strada.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;96;96;96;96;ma lo impedisce così tanto che lo uccide;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;97;97;97;97;e ha una natura così malvagia e cattiva.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;98;98;98;98;che non si placa mai il desiderio insaziabile.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;99;99;99;99;Dopo aver mangiato, ha ancora più fame di prima.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;100;100;100;100;Molti sono gli animali che si accoppiano.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;101;101;101;101;E ce ne saranno sempre di più, finché il veltro non verrà.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;102;102;102;102;Verrà e la farà soffrire fino alla morte.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;103;103;103;103;Lui non mangerà né terra né peltro.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;104;104;104;104;ma conoscenza, amore e virtù,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;105;105;105;105;Il suo paese sarà tra due feltri.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;106;106;106;106;Da quella modesta Italia arriverà la salvezza.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;107;107;107;107;quindi morì la vergine Cammilla.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;108;108;108;108;Eurialo, Turno e Niso sono feriti.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;109;109;109;109;Lui la caccierà in ogni villa.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;110;110;110;110;finché l'avrà rimessa all'inferno;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;111;111;111;111;là dove la gelosia si manifesta per prima.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;112;112;112;112;Per questo motivo penso e capisco meglio di te.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;113;113;113;113;Se mi segui, io ti guiderò.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;114;114;114;114;E sarai trascinato da qui verso un luogo eterno.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;115;115;115;115;Dove sentirai i lamenti disperati.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;116;116;116;116;Vedrai gli spiriti antichi che soffrono.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;117;117;117;117;Tutti gridano alla seconda morte.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;118;118;118;118;e vedrai persone che sono felici;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;119;119;119;119;nella fiamma, perché sperano di arrivare;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;120;120;120;120;quando arriveranno alle persone benedette.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;121;121;121;121;Puoi salire sul molo quando vuoi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;122;122;122;122;Anima malvagia, più degna di ciò di me.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;123;123;123;123;Con lei ti lascio quando me ne vado.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;124;124;124;124;per ragione, può avere la sua cittadinanza nei cieli, ma ciò non significa che abbia il diritto di interferire negli affari della Terra.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;125;125;125;125;perché mi sono ribellato alle sue regole.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;126;126;126;126;Non vuole che si venga nella sua città per me.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;127;127;127;127;In ogni luogo domina e comanda;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;128;128;128;128;Qui è la sua città e il trono elevato.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;129;129;129;129;Oh fortunato chi sceglie di essere lì!;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;130;130;130;130;E io gli dissi: Poeta, ti chiedo.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;131;131;131;131;per il Dio che non conoscevi.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;132;132;132;132;per evitare questa sofferenza e qualcosa di ancora peggiore;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;133;133;133;133;Portami dove hai detto prima.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;134;134;134;134;Così posso vedere la porta di San Pietro.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;135;135;135;135;e i colori che ti rendono così triste.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;1;136;136;136;136;Poi si mise in movimento, e io lo seguivo.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;137;1;1;1;Il giorno stava finendo e l'aria diventava scura.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;138;2;2;2;Rimuoveva gli animali che si trovano sulla terra.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;140;4;4;4;Mi stavo preparando a sostenere la guerra.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;141;5;5;5;sì del percorso e sì della compassione.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;142;6;6;6;che dipingerà la mente che non sbaglia.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;143;7;7;7;O musa, o grande intelligenza, aiutami ora;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;144;8;8;8;Oh mente che hai scritto ciò che ho visto.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;145;9;9;9;Qui si vedrà la tua nobiltà.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;146;10;10;10;Ho iniziato dicendo: Poeta che mi stai guidando,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;147;11;11;11;guarda quanto sono potente la mia virtù.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;148;12;12;12;Prima che tu ti fidi del mio alto passo.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;149;13;13;13;Tu dici che sei parente di Silvio.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;150;14;14;14;Ancora corrompibile, verso l'immortalità.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;151;15;15;15;Un secolo passò e cambiò notevolmente.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;152;16;16;16;Tutti i mali avversari;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;153;17;17;17;gentile era lui, pensando all'importante risultato;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;154;18;18;18;Quello che doveva uscire da lui, e chi e quale era.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;155;19;19;19;Non sembra indegno per un uomo di intelletto.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;156;20;20;20;che fu dell'anima di Roma e del suo impero;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;157;21;21;21;Nel cielo dell'impero come padre scelto.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;158;22;22;22;che, per essere sinceri,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;159;23;23;23;Fu deciso per il luogo sacro.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;160;24;24;24;Il successore di Piero maggiore è seduto lì.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;161;25;25;25;Per questo viaggio che ti dà vanto,;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;162;26;26;26;ho capito le cose che sono state la causa;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;163;27;27;27;della sua vittoria e del mantello papale.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;164;28;28;28;Poi andai al Vaso d'elezione.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;165;29;29;29;per portare conforto a quella credenza;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;166;30;30;30;che è l'inizio della strada verso la salvezza.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;167;31;31;31;Ma perché dovrei venire da voi? Chi me lo permette?;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;168;32;32;32;Non sono Enëa, non sono nemmeno Paolo.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;169;33;33;33;Non mi ritengo degno di ciò e neanche altri lo credono.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;170;34;34;34;Perché, se decido di venire, mi arrendo.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
1;2;171;35;35;35;Ho paura che la visita non sia una buona idea.;gpt-3.5-turbo;modern simple;0.7;"f""Paraphrase the following text in {style} Italian:\n\n{text}"""
