cantica;canto;verse;text;author
1;1;79-81;"“Are you, then, that Virgil, that fount
which pours forth so broad a stream of
speech?” I answered him, my brow covered
with shame.";singleton
1;1;82-84;"“O glory and light of other poets,
may the long study and the great love that
have made me search your volume avail me!";singleton
1;1;85-87;"You are my master and my author. You alone
are he from whom I took the fair style that
has done me honor.";singleton
1;1;88-90;"See the beast that has
turned me back. Help me against her, famous
sage, for she makes my veins and pulses
tremble.”";singleton
1;1;91-93;"“It behooves you to go by another way if
you would escape from this wild place,” he
answered when he saw me weep,";singleton
1;1;94-96;"“for this
beast, the cause of your complaint, lets no
man pass her way, but so besets him that she
slays him;";singleton
1;1;97-99;"and she has a nature so vicious and
malign that she never sates her greedy appe-
tite and after feeding is hungrier than before.";singleton
1;1;100-102;"Many are the beasts with which she mates,
and there will yet be more, until the Hound
shall come who will deal her a painful death.";singleton
1;1;103-105;"He will not feed on earth or pelf, but on wis-
dom, love, and virtue, and his birth shall be
between felt and felt.";singleton
1;1;106-108;"He shall be the salvation
of that low-lying Italy for which the virgin
Camilla and Euryalus, Turnus, and Nisus
died of their wounds.";singleton
1;1;109-111;"He shall hunt her through every town till he
has thrust her back into Hell, whence envy
first sent her forth.";singleton
1;1;112-114;"Therefore I think and
deem it best that you should follow me, and
I will be your guide and lead you hence
through an eternal place,";singleton
1;1;115-117;"where you shall
hear the despairing shrieks and see the an-
cient tormented spirits who all bewail the
second death.";singleton
1;1;118-120;"Then you shall see those who
are content in the fire because they hope
to come among the blessed, whensoever that
may be;";singleton
1;1;121-123;"and to these if you would then as-
cend, there shall be a soul worthier than I
to guide you; with her I shall leave you at my
departing.";singleton
1;1;124-126;"For the Emperor who reigns there-
above wills not that I come into His city,
because I was rebellious to His law.";singleton
1;1;127-129;"In all
parts is His empire, in that part is His king-
dom, there is His city and His lofty seat.
Oh, happy he whom He elects thereto!”";singleton
1;1;130-132;"And I to him, “Poet, I beseech you, by that
God whom you did not know, so that I may
escape this ill and worse,";singleton
1;1;133-135;"lead me whither
you said just now, that I may see St. Peter’s
gate and those whom you term so woeful.”";singleton
1;1;136-136;Then he set out, and I followed after him.;singleton
1;2;1-3;"Day was departing, and the dark air was | taking the creatures on earth from their labors; | and I alone";singleton
1;2;4-6;was making ready to sustain the strife, both of the journey | and of the pity, which unerring memory | shall retrace.;singleton
1;2;7-9;O Muses, O high genius, help me now! | O memory that wrote down what I saw, | here shall your worthiness appear!;singleton
1;2;10-12;I began, “Poet, you who guide me, | consider if my strength is sufficient, | before you trust me to the deep way.;singleton
1;2;13-15;You tell how the father of Silvius | went, while still mortal, to the immortal world | and was there in his bodily senses.;singleton
1;2;16-18;But that the Adversary of all evil | should show him such favor considering the high effect that was to spring from him and who and what he was;singleton
1;2;19-21;"seems not unfitting | to an understanding mind, for in the Empyrean heaven he was chosen as
father of glorious Rome and of her empire,";singleton
1;2;22-24; and both, to say the truth, were established | as the holy place where the successor of great Peter has his seat.;singleton
1;2;25-27;In this journey, which you affirm he made, | he learned things that were the cause | of his victory and of the papal mantle.;singleton
1;2;28-30;Later, the Chosen Vessel went there, | that he might bring thence confirmation of that faith | which is the beginning of the way of salvation.;singleton
1;2;31-33;"But I, why do I come there? And who allows it? | I am not Aeneas, I am not Paul; | of this neither I nor others think me worthy.";singleton
1;2;34-36;"Wherefore, if I yield and come, I fear | that the coming may be folly. You are wise; | you understand better than I explain it.”";singleton
1;2;37-39;And like one who unwills what he has willed | and with new thoughts changes his resolve, | so that he quite gives up the thing he had begun,;singleton
1;2;40-42;such did I become on that dark slope, | for by thinking on it I rendered null | the undertaking that had been so suddenly embarked upon.;singleton
1;2;43-45;“If I have well understood what you say,” | the shade of that magnanimous one replied, | “your spirit is beset by cowardice,;singleton
1;2;46-48;which oftentimes encumbers a man, | turning him from honorable endeavor, | as false seeing turns a beast that shies.;singleton
1;2;49-51;To free you from this fear I will tell you | why I came and what it was I heard | when I first felt pity for you.;singleton
1;2;52-54;I was among those who are suspended, | and a lady called me, so blessed and so fair | that I prayed her to command me.;singleton
1;2;55-57;Her eyes were more resplendent than the stars, | and she began to say to me, sweetly and softly, | in an angelic voice,;singleton
1;2;58-60;‘O courteous Mantuan spirit, | whose fame still lasts in the world, | and shall last as long as the world,;singleton
1;2;61-63;my friend—and not the friend of Fortune— | finds his way so impeded on the desert slope | that he has turned back in fright;singleton
1;2;64-66;and, from what I have heard of him in Heaven, | I fear he may already have gone so astray | that I am late in arising to help him.;singleton
1;2;67-69;Go now, and with your fair speech | and with whatever is needful for his deliverance, | assist him so that it may console me.;singleton
1;2;70-72;I am Beatrice who send you. | I come from a place to which I long to return. | Love moved me and makes me speak.;singleton
1;2;73-75;"When I am before my Lord | I will often praise you to Him.’ | Then she was silent; and I began,";singleton
1;2;76-78;‘O Lady of virtue, through whom alone mankind | rises beyond all that is contained | by the heaven that circles least,;singleton
1;2;79-81;your command so pleases me, | that had I obeyed already it would be late. | You have only to declare your will to me.;singleton
1;2;82-84;But tell me the reason why you are not wary | of descending to this center from that spacious region | to which you long to return.’;singleton
1;2;85-87;‘Since you wish to know so deeply,’ | she answered me, ‘I will tell you briefly | why I am not afraid to come within this place.;singleton
1;2;88-90;Those things alone should be feared | that have power to do one harm— | not other things, for they are not fearful.;singleton
1;2;91-93;I am made such by God, of His grace, | that your suffering does not touch me, | and no flame of this burning assails me.;singleton
1;2;94-96;In Heaven there is a gracious lady | who has such pity of this impediment | to which I send you that stern judgment is broken there-above.;singleton
1;2;97-99;She called Lucy, in her request, and said, | “Your faithful one has need of you now, | and I commend him to you.”;singleton
1;2;100-102;Lucy, foe of every cruelty, arose | and, coming to where I sat with ancient Rachel, ;singleton
1;2;103-105;said, “Beatrice, true praise of God, why do you not succor him who bore you such love | that for you he left the vulgar throng? ;singleton
1;2;106-108;Do you not hear his pitiful lament? Do you not see the death that assails him | on that flood over which the sea | has no vaunt?”;singleton
1;2;109-111;On earth no one was ever so swift | to seize advantage or to flee from harm | as I was when these words were uttered,;singleton
1;2;112-114;to come down here from my blessed seat— | trusting in your noble speech, | which honors you and all who have heard it.’;singleton
1;2;115-117;"When she had said this to me, she turned | her eyes, which shone with tears, | making me the more eager to come;";singleton
1;2;118-120;and so, even as she wished, I came to you, | and rescued you from the beast | that was preventing your going the short way up the fair mountain.;singleton
1;2;121-123;What, then, is this? Why, why do you hold back? | Why do you harbor such cowardice in your heart? | Why are you not bold and free,;singleton
1;2;124-126;when in Heaven’s court three such blessed ladies | are mindful of you, | and my words pledge you so great a good?”;singleton
1;2;127-129;As little flowers, bent down and closed | by chill of night, straighten and all unfold | upon their stems when the sun brightens them,;singleton
1;2;130-132;"such in my faint strength did I become; | and so much good courage rushed to my heart | that I began, as one set free,";singleton
1;2;133-135;“Oh, how compassionate was she who helped me, | and how courteous were you, | so quick to obey the true words she spoke to you!;singleton
1;2;136-138;By your words you have made me | so eager to come with you | that I have returned to my first resolve.;singleton
1;2;139-141;"Now on, for a single will is in us both; | you are my leader, you my master and my teacher.” | So I said to him, and when he moved on,";singleton
1;2;142-142;I entered along the deep and savage way.;singleton
1;3;1-3;Through me you enter the woeful city, through me you enter eternal grief, through me you enter among the lost.;singleton
1;3;4-6;Justice moved my high maker: the divine power made me, the supreme wisdom, and the primal love.;singleton
1;3;7-9;Before me nothing was created, if not eternal, and eternal I endure. Abandon every hope, you who enter.;singleton
1;3;10-12;"These words of obscure color I saw inscribed over a portal; whereupon I said, “Master, their meaning is hard for me.”";singleton
1;3;13-15;"And he to me, as one who understands, “Here must all fear be left behind; here let all cowardice be dead.";singleton
1;3;16-18;We have come to the place where I have told you you will see the wretched people who have lost the good of intellect.”;singleton
1;3;19-21;And when he had placed his hand on mine, with a cheerful look from which I took comfort, he led me among the secret things.;singleton
1;3;22-24;Here sighs, laments, and loud wailings were resounding through the starless air, so that at first they made me weep.;singleton
1;3;25-27;Strange tongues, horrible outcries, utterances of woe, accents of anger, voices shrill and faint, and the beating of hands among them.;singleton
1;3;28-30;They were making a tumult that swirls unceasingly in that dark and timeless air, like sand when a whirlwind blows.;singleton
1;3;31-33;And I, my head circled with error, said, “Master, what is this I hear? And what people are these who seem so overcome by pain?”;singleton
1;3;34-36;And he to me, “Such is the miserable condition of the sorry souls of those who lived without infamy and without praise.”;singleton
1;3;37-39;They are mingled with that base band of angels who were neither rebellious nor faithful to God, but stood apart.;singleton
1;3;40-42;"The heavens drive them out, so as not to be less beautiful; and deep Hell does not receive them, lest the wicked have some glory over them.";singleton
1;3;43-45;And I, “Master, what is so grievous to them that it makes them lament so bitterly?” He answered, “Very briefly I will tell you.”;singleton
1;3;46-48;“These have no hope of death, and their blind life is so abject that they are envious of every other lot.;singleton
1;3;49-51;The world does not suffer that report of them shall live. Mercy and justice disdain them. Let us not speak of them, but look, and pass on.”;singleton
1;3;52-54;Looking again, I saw a banner that ran so fast, whirling about, that it seemed it might never have rest.;singleton
1;3;55-57;Behind it came so long a train of people that I should never have believed death had undone so many.;singleton
1;3;58-60;After I had recognized some among them, I saw and knew the shade of him who from cowardice made the great refusal.;singleton
1;3;61-63;Straightway I understood and knew for certain that this was the sorry sect of those who are displeasing to God and to his enemies.;singleton
1;3;64-66;These wretches, who never were alive, were naked and were much stung by gadflies and wasps there.;singleton
1;3;67-69;Which were streaking their faces with blood that mingled with their tears and was gathered by loathsome worms at their feet.;singleton
1;3;70-72;"Then, directing my gaze farther on, I saw people at the shore of a great river; wherefore I said, “Master, now grant that I may know.”";singleton
1;3;73-75;Who these are, and what law makes them seem so ready to cross over, as I discern through the dim light.;singleton
1;3;76-78;And he to me, “These things will be made known to you when we stay our steps at the dismal stream of Acheron.”;singleton
1;3;79-81;Then, with eyes downcast and ashamed, fearing that my words had displeased him, I refrained from speaking till we reached the river.;singleton
1;3;82-84;And behold, an old man, his hair white with age, coming towards us in a boat and shouting, “Woe to you, wicked souls!;singleton
1;3;85-87;Do not hope to see Heaven ever! I come to carry you to the other shore, into eternal darkness, into fire and cold.”;singleton
1;3;88-90;And you there, living soul, stand aside from these that are dead.” But when he saw that I did not do so, ;singleton
1;3;91-93;he said, “By another way.” By other ports, not here, you shall cross to shore. A lighter bark must carry you.;singleton
1;3;94-96;"And my leader to him, “Charon, do not rage. Thus is it willed there where that can be done which is willed; and ask no more.”";singleton
1;3;97-99;Thereon the grizzled cheeks of the ferryman of the livid marsh, who had wheels of flame about his eyes, were quiet.;singleton
1;3;100-102;But those forlorn and naked souls changed color, their teeth chattering, as soon as they heard the cruel words.;singleton
1;3;103-105;They cursed God, their parents, the human race, the place, the time, the seed of their begetting and of their birth.;singleton
1;3;106-108;Then, weeping loudly, all drew to the evil shore that awaits every man who fears not God.;singleton
1;3;109-111;The demon Charon, his eyes like glowing coals, beckons to them and collects them all, beating with his oar whoever lingers.;singleton
1;3;112-114;As the leaves fall away in autumn, one after another, till the bough sees all its spoils upon the ground.;singleton
1;3;115-117;So there the evil seed of Adam: one by one they cast themselves from that shore at signals, like a bird at its call.;singleton
1;3;118-120;Thus they go over the dark water, and before they have landed on the other shore, on this side a new throng gathers.;singleton
1;3;121-123;“My son,” said the courteous master, “those who die in the wrath of God all come together here from every land.;singleton
1;3;124-126;And they are eager to cross the stream, for Divine Justice so spurs them that their fear is changed to desire.”;singleton
1;3;127-129;"No good soul ever passes this way; therefore, if Charon complains of you, you can now well understand the meaning of his words.";singleton
1;3;130-132;When he had ended, the gloomy plain shook so violently that even now the memory of my terror bathes me in sweat.;singleton
1;3;133-135;The tear-soaked ground gave forth a wind that flashed a crimson light which overcame all my senses, ;singleton
1;3;136-136;and I fell like one who is seized by sleep.;singleton
1;4;1-3;"A heavy thunderclap broke the deep sleep in my head, so that I started like one who is awakened by force;";singleton
1;4;4-6;and, standing up, I moved my rested eyes around, gazing intently to make out the place where I was.;singleton
1;4;7-9;True it is that I found myself on the brink of the chasm of pain, which holds the clamor of endless wailings.;singleton
1;4;10-12;It was so dark and deep and misty that, though I peered intently down into the depth, I could make out nothing there.;singleton
1;4;13-15;“Let us descend now into the blind world here below,” the poet began, all pale. “I will be first, and you second.” ;singleton
1;4;16-18;And I, noting his pallor, said, “How shall I come, if you are afraid, who are wont to encourage me when I hesitate?” ;singleton
1;4;19-21;And he to me, “The anguish of the people here below paints my face with the pity that you take for fear. ;singleton
1;4;22-24;Let us go, for the long way urges us.” So he entered, and had me enter, the first circle that girds the abyss.;singleton
1;4;25-27;"Here there was no plaint, that could be heard, except of sighs, which caused the eternal air to tremble;";singleton
1;4;28-30;and this arose from the sadness, without torments, of the crowds that were many and great, both of children and of women and men.;singleton
1;4;31-33;The good master said to me, “Do you not ask what spirits are these that you see? Now, before you go farther, I will have you know ;singleton
1;4;34-36;"that they did not sin; but if they have merit, that does not suffice, for they did not have baptism, which is the portal of the faith you hold;";singleton
1;4;37-39;and if they were before Christianity, they did not worship God aright, and I myself am one of these.;singleton
1;4;40-42;Because of these shortcomings, and for no other fault, we are lost, and only so far afflicted that without hope we live in longing.”;singleton
1;4;43-45;Great sadness seized my heart when I heard him, for I recognized that people of great worth were suspended in that Limbo.;singleton
1;4;46-48;“Tell me, master, tell me, sir,” I began, wishing to be assured of the faith that conquers every error.;singleton
1;4;49-51;“Did ever anyone go forth from here, either by his own or by another’s merit, who afterwards was blessed?” And he, who understood my covert speech, ;singleton
1;4;52-54;replied, “I was new in this condition when I saw a Mighty One come here, crowned with sign of victory.;singleton
1;4;55-57;He took hence the shade of our first parent, Abel his son, and Noah, and Moses, obedient giver of laws,;singleton
1;4;58-60;Abraham the patriarch and David the king, Israel with his father and his children and with Rachel, for whom he did so much,;singleton
1;4;61-63;"and many others; and He made them blessed. And I would have you know that before these no human souls were saved.”";singleton
1;4;64-66;"We did not cease going on because he spoke, but all the while were passing through the wood, I mean the wood of thronging spirits;";singleton
1;4;67-69;nor had we yet gone far from the place of my slumber when I saw a fire, which overcame a hemisphere of darkness.;singleton
1;4;70-72;We were still a little distant from it, yet not so far but that I might in part discern that honorable folk possessed this place.;singleton
1;4;73-75;“O you who honor science and art, who are these that have such honor that it sets them apart from the condition of the rest?”;singleton
1;4;76-78;And he to me, “Their honored fame, which resounds in your life above, wins grace in Heaven, which thus advances them.”;singleton
1;4;79-81;Meanwhile I heard a voice which said, “Honor the great Poet! His shade, which had departed, now returns.”;singleton
1;4;82-84;After the voice had ceased and was still, I saw four great shades coming to us, in semblance neither sad nor joyful.;singleton
1;4;85-87;The good master began, “Note him there with sword in hand who comes before the other three as their lord.;singleton
1;4;88-90;"He is Homer, sovereign poet; next is Horace, satirist; Ovid comes third, and Lucan last.";singleton
1;4;91-93;Since each shares with me the name the single voice has uttered, they do me honor, and in that they do well.”;singleton
1;4;94-96;Thus I saw assembled the fair school of that lord of highest song who, like an eagle, soars above the rest.;singleton
1;4;97-99;"After they had talked awhile together, they turned to me with sign of salutation, at which my master smiled;";singleton
1;4;100-102;and far more honor still they showed me, for they made me one of their company, so that I was sixth amid so much wisdom.;singleton
1;4;103-105;Thus we went onward to the light, talking of things it is well to pass in silence, even as it was well to speak of them there.;singleton
1;4;106-108;We came to the foot of a noble castle, seven times encircled by lofty walls and defended round about by a fair stream.;singleton
1;4;109-111;This we crossed, as on solid ground, and through seven gates I entered with these sages. We came to a meadow of fresh verdure, ;singleton
1;4;112-114;where there were people with grave and slow-moving eyes and looks of great authority. They spoke seldom and with gentle voices.;singleton
1;4;115-117;Then we drew to one side, into an open place which was luminous and high, so that we could see all of them. ;singleton
1;4;118-120;There before me, on the enameled green, the great spirits were shown to me, so that I glory within me for having seen them. ;singleton
1;4;121-123;I saw Electra with many companions, among whom I knew Hector, and Aeneas, and falcon-eyed Caesar armed.;singleton
1;4;124-126;"I saw Camilla and Penthesilea; and on the other side I saw King Latinus, who sat with his daughter Lavinia.";singleton
1;4;127-129;I saw that Brutus who drove out the Tarquin, I saw Lucretia, Julia, Marcia, and Cornelia.;singleton
1;4;130-132;And by himself apart I saw Saladin. When I raised my eyes a little higher, I saw the Master of those who know, seated in a philosophic family.;singleton
1;4;133-135;All look to him, all do him honor. There, nearest to him and in front of the rest, I saw Socrates and Plato.;singleton
1;4;136-138;I saw Democritus, who ascribes the world to chance, Diogenes, Anaxagoras, and Thales, Empedocles, Heraclitus, and Zeno. ;singleton
1;4;139-141;I saw the good collector of the qualities of things—I mean Dioscorides— and I saw Orpheus, Tully, Linus, and Seneca the moralist.;singleton
1;4;142-144;Euclid the geometer, and Ptolemy, Hippocrates, Avicenna, Galen, and Averroés, who made the great commentary.;singleton
1;4;145-147;I cannot give full account of them all, for my long theme so drives me on, that many times the telling comes short of the fact.;singleton
1;4;148-150;"The company of six diminishes to two; by another way my wise guide leads me, out of the quiet, into the trembling air.";singleton
1;4;151-151;And I come to a part where there is naught that shines.;singleton
1;5;1-3;Thus I descended from the first circle into the second, which girds less space, and so much greater woe that it goads to wailing.;singleton
1;5;4-6;There stands Minos, horrible and snarling: upon the entrance he examines their offenses, and judges and dispatches them according as he entwines.;singleton
1;5;7-9;"I mean that when the ill-begotten soul comes before him, it confesses all; and that discerner of sins sees which shall be its place in Hell, then girds himself with his tail as many times as the grades he wills that it be sent down.";singleton
1;5;10-12;"Always before him stands a crowd of them; they go, each in his turn, to the judgment; they tell, and hear, and then are hurled below.";singleton
1;5;13-15;“O you who come to the abode of pain,” said Minos to me, when he saw me, pausing in the act of that great office,;singleton
1;5;16-18;"“beware how you enter and in whom you trust; let not the breadth of the entrance deceive you!”";singleton
1;5;19-21;"And my leader to him, “Why do you too cry out? Do not hinder his fated going: thus is it willed there where that can be done which is willed; and ask no more.”";singleton
1;5;22-24;"Now the doleful notes begin to reach me; now I am come where much wailing smites me.";singleton
1;5;25-27;I came into a place mute of all light, which bellows like the sea in tempest when it is assailed by warring winds.;singleton
1;5;28-30;"The hellish hurricane, never resting, sweeps along the spirits with its rapine; whirling and smiting, it torments them.";singleton
1;5;31-33;"When they arrive before the ruin, there the shrieks, the moans, the lamentations; there they curse the divine power.";singleton
1;5;34-36;I learned that to such torment are condemned the carnal sinners, who subject reason to desire.;singleton
1;5;37-39;And as their wings bear the starlings along in the cold season, in wide, dense flocks,;singleton
1;5;40-42;"so does that blast the sinful spirits; hither, thither, downward, upward, it drives them.";singleton
1;5;43-45;No hope of less pain, not to say of rest, ever comforts them.;singleton
1;5;46-48;And as the cranes go chanting their lays, making a long line of themselves in the air,;singleton
1;5;49-51;"so I saw shades come, uttering wails, borne by that strife; wherefore I said, “Master, who are these people that are so lashed by the black air?”";singleton
1;5;52-54;“The first of these of whom you wish to know,” he said to me then, “was empress of many tongues.;singleton
1;5;55-57;She was so given to lechery that she made lust licit in her law, to take away the blame she had incurred.;singleton
1;5;58-60;She is Semiramis, of whom we read that she succeeded Ninus and had been his wife: she held the land the Sultan rules.;singleton
1;5;61-63;"The next is she who slew herself for love and broke faith to the ashes of Sichaeus; next is wanton Cleopatra.";singleton
1;5;64-66;"See Helen, for whom so many years of ill revolved; and see the great Achilles, who fought at the last with love.";singleton
1;5;67-69;See Paris, Tristan, and more than a thousand shades whom love had parted from our life he showed me, pointing them out and naming them.;singleton
1;5;70-72;When I heard my teacher name the ladies and the knights of old, pity overcame me and I was as one bewildered.;singleton
1;5;73-75;“Poet,” I began, “willingly would I speak with those two that go together and seem to be so light upon the wind.”;singleton
1;5;76-78;"And he to me, “You shall see when they are nearer to us; and do you entreat them then by that love which leads them, and they will come.”";singleton
1;5;79-81;As soon as the wind bends them to us, I raised my voice, “O wearied souls! come speak with us, if Another forbid it not.”;singleton
1;5;82-84;As doves called by desire, with wings raised and steady, come through the air, borne by their will to their sweet nest,;singleton
1;5;85-87;so did these issue from the troop where Dido is, coming to us through the malignant air, such force had my compassionate cry.;singleton
1;5;88-90;“O living creature, gracious and benign, that go through the black air visiting us who stained the world with blood,;singleton
1;5;91-93;if the King of the universe were friendly to us, we would pray Him for your peace, since you have pity on our perverse ill.;singleton
1;5;94-96;Of that which it pleases you to hear and to speak, we will hear and speak with you, while the wind, as now, is silent for us.;singleton
1;5;97-99;The city where I was born lies on that shore where the Po descends to be at peace with its followers.;singleton
1;5;100-102;Love, which is quickly kindled in a gentle heart, seized this one for the fair form that was taken from me—and the way of it afflicts me still.;singleton
1;5;103-105;Love, which absolves no loved one from loving, seized me so strongly with delight in him, that, as you see, it does not leave me even now.;singleton
1;5;106-108;Love brought us to one death. Caina awaits him who quenched our life.”;singleton
1;5;109-111;These words were borne to us from them.;singleton
1;5;112-114;And when I heard those afflicted souls I bowed my head and held it bowed until the poet said to me, “What are you thinking of?”;singleton
1;5;115-117;When I answered, I began, “Alas! How many sweet thoughts, what great desire, brought them to the woeful pass!”;singleton
1;5;118-120;"Then I turned again to them, and I began, “Francesca, your torments make me weep for grief and pity; but tell me, in the time of the sweet sighs,";singleton
1;5;121-123;by what and how did Love grant you to know the dubious desires?”;singleton
1;5;124-126;"And she to me, “There is no greater sorrow than to recall, in wretchedness, the happy time; and this your teacher knows.";singleton
1;5;127-129;But if you have such great desire to know the first root of our love, I will tell as one who weeps and tells.;singleton
1;5;130-132;"One day, for pastime, we read of Lancelot, how love constrained him; we were alone, suspecting nothing.";singleton
1;5;133-135;Several times that reading urged our eyes to meet and took the color from our faces, but one moment alone it was that overcame us.;singleton
1;5;136-138;When we read how the longed-for smile was kissed by so great a lover, this one, who never shall be parted from me, kissed my mouth all trembling.;singleton
1;5;139-141;"A Gallehault was the book and he who wrote it; that day we read no farther in it.";singleton
1;5;142-142;While the one spirit said this, the other wept, so that for pity I swooned, as if in death, and fell as a dead body falls.;singleton
1;6;1-3;At the return of my mind, which had closed before the pity of the two kinsmen, who filled me with sadness and left me dazed.;singleton
1;6;4-6;New torments and new tormented souls, I see around me, whichever way I move, whichever way I turn, and whichever way I gaze.;singleton
1;6;7-9;"I am in the third circle, of the rain, eternal, accursed, heavy, and cold; its measure and its kind are never new.";singleton
1;6;10-12;"Huge hail, dark water, and snow pour down through the murky, heavy air; the ground that takes it in gives off a stench.";singleton
1;6;13-15;Cerberus, savage beast, strange and cruel, barks dog-like with three throats above the people submerged in this place.;singleton
1;6;16-18;"His eyes are red, his beard is black and greasy, his belly is broad, his hands are clawed; he rakes the souls, he flays, he quarters them.";singleton
1;6;19-21;"The rain makes them howl like dogs in pain; one wretch shields himself behind the next, turning and twisting in their miserable plight.";singleton
1;6;22-24;When Cerberus, the monstrous worm, caught sight of us, he opened his jaws, showed us his fangs, and shook in every limb.;singleton
1;6;25-27;Then my leader stretched his open hands, scooped up earth, and with full fists, he threw it into those ravenous mouths.;singleton
1;6;28-30;As a dog that barks and fiercely craves, but calms itself once it snatches its food, fighting and struggling only to devour it,;singleton
1;6;31-33;So did those filthy demon faces turn, the faces of Cerberus, who thunders so, that souls would wish they could be deaf.;singleton
1;6;34-36;We passed above the shadows laid low by the heavy rain, setting our feet upon their emptiness that seemed solid.;singleton
1;6;37-39;They all lay sprawled across the ground, except for one, who quickly rose to sit, as soon as he saw us passing by.;singleton
1;6;40-42;"“O you, led through this hellish place,” he said to me, “if you can, recognize me; you were made before I was unmade.”";singleton
1;6;43-45;And I to him: “Your pain may well have taken you from my memory, so that I do not recall having seen you.;singleton
1;6;46-48;But tell me who you are, who are placed in such a sorrowful, woeful spot, where, if any is worse, none is more loathsome.”;singleton
1;6;49-51;And he to me: “Your city, so full of envy, that already its sack overflows, held me in it during the bright life.;singleton
1;6;52-54;You citizens called me Ciacco: for the deadly fault of gluttony, as you see, I am broken by the rain.;singleton
1;6;55-57;"And yet, in misery, I am not alone; for all of these endure the same, punished alike for the same sin.”";singleton
1;6;58-60;"I answered him: “Ciacco, your suffering weighs on me so that it moves me to tears; but tell me, if you know, what will become";singleton
1;6;61-63;of the citizens of the divided city? Is there one just man among them? And why has such discord struck it down?”;singleton
1;6;64-66;And he to me: “After long contention, they will come to blood, and the wild faction shall drive the other out with cruel offense.;singleton
1;6;67-69;Then, within three years, the first will fall, while the other shall rise in victory, by means of one who now treads a middle path.;singleton
1;6;70-72;Long will the victors hold their heads high, keeping their foes beneath heavy burdens, no matter how they weep or feel the shame.;singleton
1;6;73-75;"Two men are just, but they are not heeded; pride, envy, and greed are the three sparks that have set their hearts aflame.”";singleton
1;6;76-78;Here he finished his grievous words. And I to him: “I still would learn more, and have you grant me further speech.;singleton
1;6;79-81;Farinata and Tegghiaio, once so worthy, Jacopo Rusticucci, Arrigo, and Mosca, and the others who pursued the good,;singleton
1;6;82-84;Tell me where they are, and let me know, for I am eager to understand whether Heaven soothes or Hell torments them.”;singleton
1;6;85-87;"And he: “They are among the darkest souls, dragged to the depths by different faults; if you descend that far, you may see them.";singleton
1;6;88-90;"But when you return to the sweet world, I pray you to recall me among men; I tell you no more and answer no more.”";singleton
1;6;91-93;Then he turned his straight eyes askew, looked at me a moment, then bowed his head, and fell down with the others, blind as they.;singleton
1;6;94-96;And my leader said to me: “He wakes no more until the angel’s trumpet sounds, and the mighty foe arrives.;singleton
1;6;97-99;Then each shall find again his mournful tomb, shall take his flesh and form once more, and hear the sound that echoes for eternity.”;singleton
