cantica;canto;cum_verse_number;verse_number;text;author
1;1;61;61;Mentre ch’i’ rovinava in basso loco,;dante
1;1;62;62;dinanzi a li occhi mi si fu offerto;dante
1;1;63;63;chi per lungo silenzio parea fioco.;dante
1;1;64;64;Quando vidi costui nel gran diserto,;dante
1;1;65;65;"""Miserere di me"", gridai a lui,";dante
1;1;66;66;"""qual che tu sii, od ombra od omo certo!"".";dante
1;1;67;67;"Rispuosemi: ""Non omo, omo già fui,";dante
1;1;68;68;e li parenti miei furon lombardi,;dante
1;1;69;69;mantoani per patrïa ambedui.;dante
1;1;70;70;Nacqui sub Iulio, ancor che fosse tardi,;dante
1;1;71;71;e vissi a Roma sotto ’l buono Augusto;dante
1;1;72;72;nel tempo de li dèi falsi e bugiardi.;dante
1;1;73;73;Poeta fui, e cantai di quel giusto;dante
1;1;74;74;figliuol d’Anchise che venne di Troia,;dante
1;1;75;75;poi che ’l superbo Ilïón fu combusto.;dante
1;1;76;76;Ma tu perché ritorni a tanta noia?;dante
1;1;77;77;perché non sali il dilettoso monte;dante
1;1;78;78;"ch’è principio e cagion di tutta gioia?"".";dante
1;1;79;79;"""Or se’ tu quel Virgilio e quella fonte";dante
1;1;80;80;"che spandi di parlar sì largo fiume?"",";dante
1;1;81;81;rispuos’io lui con vergognosa fronte.;dante
1;1;82;82;"""O de li altri poeti onore e lume,";dante
1;1;83;83;vagliami ’l lungo studio e ’l grande amore;dante
1;1;84;84;che m’ ha fatto cercar lo tuo volume.;dante
1;1;85;85;Tu se’ lo mio maestro e ’l mio autore,;dante
1;1;86;86;tu se’ solo colui da cu’ io tolsi;dante
1;1;87;87;lo bello stilo che m’ ha fatto onore.;dante
1;1;88;88;"Vedi la bestia per cu’ io mi volsi;";dante
1;1;89;89;aiutami da lei, famoso saggio,;dante
1;1;90;90;"ch’ella mi fa tremar le vene e i polsi"".";dante
1;1;91;91;"""A te convien tenere altro vïaggio"",";dante
1;1;92;92;rispuose, poi che lagrimar mi vide,;dante
1;1;93;93;"""se vuo’ campar d’esto loco selvaggio;";dante
1;1;94;94;ché questa bestia, per la qual tu gride,;dante
1;1;95;95;non lascia altrui passar per la sua via,;dante
1;1;96;96;"ma tanto lo ’mpedisce che l’uccide;";dante
1;1;97;97;e ha natura sì malvagia e ria,;dante
1;1;98;98;che mai non empie la bramosa voglia,;dante
1;1;99;99;e dopo ’l pasto ha più fame che pria.;dante
1;1;100;100;Molti son li animali a cui s’ammoglia,;dante
1;1;101;101;e più saranno ancora, infin che ’l veltro;dante
1;1;102;102;verrà, che la farà morir con doglia.;dante
1;1;103;103;Questi non ciberà terra né peltro,;dante
1;1;104;104;ma sapïenza, amore e virtute,;dante
1;1;105;105;e sua nazion sarà tra feltro e feltro.;dante
1;1;106;106;Di quella umile Italia fia salute;dante
1;1;107;107;per cui morì la vergine Cammilla,;dante
1;1;108;108;Eurialo e Turno e Niso di ferute.;dante
1;1;109;109;Questi la caccerà per ogne villa,;dante
1;1;110;110;fin che l’avrà rimessa ne lo ’nferno,;dante
1;1;111;111;là onde ’nvidia prima dipartilla.;dante
1;1;112;112;Ond’io per lo tuo me’ penso e discerno;dante
1;1;113;113;che tu mi segui, e io sarò tua guida,;dante
1;1;114;114;"e trarrotti di qui per loco etterno;";dante
1;1;115;115;ove udirai le disperate strida,;dante
1;1;116;116;vedrai li antichi spiriti dolenti,;dante
1;1;117;117;"ch’a la seconda morte ciascun grida;";dante
1;1;118;118;e vederai color che son contenti;dante
1;1;119;119;nel foco, perché speran di venire;dante
1;1;120;120;quando che sia a le beate genti.;dante
1;1;121;121;A le quai poi se tu vorrai salire,;dante
1;1;122;122;anima fia a ciò più di me degna:;dante
1;1;123;123;"con lei ti lascerò nel mio partire;";dante
1;1;124;124;ché quello imperador che là sù regna,;dante
1;1;125;125;perch’i’ fu’ ribellante a la sua legge,;dante
1;1;126;126;non vuol che ’n sua città per me si vegna.;dante
1;1;127;127;"In tutte parti impera e quivi regge;";dante
1;1;128;128;quivi è la sua città e l’alto seggio:;dante
1;1;129;129;"oh felice colui cu’ ivi elegge!"".";dante
1;1;130;130;"E io a lui: ""Poeta, io ti richeggio";dante
1;1;131;131;per quello Dio che tu non conoscesti,;dante
1;1;132;132;acciò ch’io fugga questo male e peggio,;dante
1;1;133;133;che tu mi meni là dov’or dicesti,;dante
1;1;134;134;sì ch’io veggia la porta di san Pietro;dante
1;1;135;135;"e color cui tu fai cotanto mesti"".";dante
1;1;136;136;Allor si mosse, e io li tenni dietro.;dante
1;2;137;1;Lo giorno se n’andava, e l’aere bruno;dante
1;2;138;2;toglieva li animai che sono in terra;dante
1;2;139;3;"da le fatiche loro; e io sol uno";dante
1;2;140;4;m’apparecchiava a sostener la guerra;dante
1;2;141;5;sì del cammino e sì de la pietate,;dante
1;2;142;6;che ritrarrà la mente che non erra.;dante
1;2;143;7;"O muse, o alto ingegno, or m’aiutate;";dante
1;2;144;8;o mente che scrivesti ciò ch’io vidi,;dante
1;2;145;9;qui si parrà la tua nobilitate.;dante
1;2;146;10;"Io cominciai: ""Poeta che mi guidi,";dante
1;2;147;11;guarda la mia virtù s’ell’è possente,;dante
1;2;148;12;prima ch’a l’alto passo tu mi fidi.;dante
1;2;149;13;Tu dici che di Silvïo il parente,;dante
1;2;150;14;corruttibile ancora, ad immortale;dante
1;2;151;15;secolo andò, e fu sensibilmente.;dante
1;2;152;16;Però, se l’avversario d’ogne male;dante
1;2;153;17;cortese i fu, pensando l’alto effetto;dante
1;2;154;18;ch’uscir dovea di lui, e ’l chi e ’l quale;dante
1;2;155;19;"non pare indegno ad omo d’intelletto;";dante
1;2;156;20;ch’e’ fu de l’alma Roma e di suo impero;dante
1;2;157;21;ne l’empireo ciel per padre eletto:;dante
1;2;158;22;la quale e ’l quale, a voler dir lo vero,;dante
1;2;159;23;fu stabilita per lo loco santo;dante
1;2;160;24;u’ siede il successor del maggior Piero.;dante
1;2;161;25;Per quest’andata onde li dai tu vanto,;dante
1;2;162;26;intese cose che furon cagione;dante
1;2;163;27;di sua vittoria e del papale ammanto.;dante
1;2;164;28;Andovvi poi lo Vas d’elezïone,;dante
1;2;165;29;per recarne conforto a quella fede;dante
1;2;166;30;ch’è principio a la via di salvazione.;dante
1;2;167;31;Ma io, perché venirvi? o chi ’l concede?;dante
1;2;168;32;"Io non Enëa, io non Paulo sono;";dante
1;2;169;33;me degno a ciò né io né altri ’l crede.;dante
1;2;170;34;Per che, se del venire io m’abbandono,;dante
1;2;171;35;temo che la venuta non sia folle.;dante
1;2;172;36;"Se’ savio; intendi me’ ch’i’ non ragiono"".";dante
1;2;173;37;E qual è quei che disvuol ciò che volle;dante
1;2;174;38;e per novi pensier cangia proposta,;dante
1;2;175;39;sì che dal cominciar tutto si tolle,;dante
1;2;176;40;tal mi fec’ïo ’n quella oscura costa,;dante
1;2;177;41;perché, pensando, consumai la ’mpresa;dante
1;2;178;42;che fu nel cominciar cotanto tosta.;dante
1;2;179;43;"""S’i’ ho ben la parola tua intesa"",";dante
1;2;180;44;rispuose del magnanimo quell’ombra,;dante
1;2;181;45;"""l’anima tua è da viltade offesa;";dante
1;2;182;46;la qual molte fïate l’omo ingombra;dante
1;2;183;47;sì che d’onrata impresa lo rivolve,;dante
1;2;184;48;come falso veder bestia quand’ombra.;dante
1;2;185;49;Da questa tema acciò che tu ti solve,;dante
1;2;186;50;dirotti perch’io venni e quel ch’io ’ntesi;dante
1;2;187;51;nel primo punto che di te mi dolve.;dante
1;2;188;52;Io era tra color che son sospesi,;dante
1;2;189;53;e donna mi chiamò beata e bella,;dante
1;2;190;54;tal che di comandare io la richiesi.;dante
1;2;191;55;"Lucevan li occhi suoi più che la stella;";dante
1;2;192;56;e cominciommi a dir soave e piana,;dante
1;2;193;57;con angelica voce, in sua favella:;dante
1;2;194;58;"""O anima cortese mantoana,";dante
1;2;195;59;di cui la fama ancor nel mondo dura,;dante
1;2;196;60;e durerà quanto ’l mondo lontana,;dante
1;2;197;61;l’amico mio, e non de la ventura,;dante
1;2;198;62;ne la diserta piaggia è impedito;dante
1;2;199;63;"sì nel cammin, che vòlt’è per paura;";dante
1;2;200;64;e temo che non sia già sì smarrito,;dante
1;2;201;65;ch’io mi sia tardi al soccorso levata,;dante
1;2;202;66;per quel ch’i’ ho di lui nel cielo udito.;dante
1;2;203;67;Or movi, e con la tua parola ornata;dante
1;2;204;68;e con ciò c’ ha mestieri al suo campare,;dante
1;2;205;69;l’aiuta sì ch’i’ ne sia consolata.;dante
1;2;206;70;"I’ son Beatrice che ti faccio andare;";dante
1;2;207;71;"vegno del loco ove tornar disio;";dante
1;2;208;72;amor mi mosse, che mi fa parlare.;dante
1;2;209;73;Quando sarò dinanzi al segnor mio,;dante
1;2;210;74;"di te mi loderò sovente a lui"".";dante
1;2;211;75;Tacette allora, e poi comincia’ io:;dante
1;2;212;76;"""O donna di virtù sola per cui";dante
1;2;213;77;l’umana spezie eccede ogne contento;dante
1;2;214;78;di quel ciel c’ ha minor li cerchi sui,;dante
1;2;215;79;tanto m’aggrada il tuo comandamento,;dante
1;2;216;80;"che l’ubidir, se già fosse, m’è tardi;";dante
1;2;217;81;più non t’è uo’ ch’aprirmi il tuo talento.;dante
1;2;218;82;Ma dimmi la cagion che non ti guardi;dante
1;2;219;83;de lo scender qua giuso in questo centro;dante
1;2;220;84;"de l’ampio loco ove tornar tu ardi"".";dante
1;2;221;85;"""Da che tu vuo’ saver cotanto a dentro,";dante
1;2;222;86;"dirotti brievemente"", mi rispuose,";dante
1;2;223;87;"""perch’i’ non temo di venir qua entro.";dante
1;2;224;88;Temer si dee di sole quelle cose;dante
1;2;225;89;"c' hanno potenza di fare altrui male;";dante
1;2;226;90;de l'altre no, ché non son paurose.}};dante
1;2;227;91;I’ son fatta da Dio, sua mercé, tale,;dante
1;2;228;92;che la vostra miseria non mi tange,;dante
1;2;229;93;né fiamma d’esto ’ncendio non m’assale.;dante
1;2;230;94;Donna è gentil nel ciel che si compiange;dante
1;2;231;95;di questo 'mpedimento ov'io ti mando,;dante
1;2;232;96;sì che duro giudicio là sù frange.}};dante
1;2;233;97;Questa chiese Lucia in suo dimando;dante
1;2;234;98;e disse: - Or ha bisogno il tuo fedele;dante
1;2;235;99;di te, e io a te lo raccomando -.;dante
1;2;236;100;Lucia, nimica di ciascun crudele,;dante
1;2;237;101;si mosse, e venne al loco dov’i’ era,;dante
1;2;238;102;che mi sedea con l’antica Rachele.;dante
1;2;239;103;Disse: - Beatrice, loda di Dio vera,;dante
1;2;240;104;ché non soccorri quei che t’amò tanto,;dante
1;2;241;105;ch’uscì per te de la volgare schiera?;dante
1;2;242;106;Non odi tu la pieta del suo pianto,;dante
1;2;243;107;non vedi tu la morte che ’l combatte;dante
1;2;244;108;su la fiumana ove ’l mar non ha vanto? -.;dante
1;2;245;109;Al mondo non fur mai persone ratte;dante
1;2;246;110;a far lor pro o a fuggir lor danno,;dante
1;2;247;111;com’io, dopo cotai parole fatte,;dante
1;2;248;112;venni qua giù del mio beato scanno,;dante
1;2;249;113;fidandomi del tuo parlare onesto,;dante
1;2;250;114;"ch’onora te e quei ch’udito l’ hanno"".";dante
1;2;251;115;Poscia che m’ebbe ragionato questo,;dante
1;2;252;116;li occhi lucenti lagrimando volse,;dante
1;2;253;117;per che mi fece del venir più presto.;dante
1;2;254;118;E venni a te così com’ella volse:;dante
1;2;255;119;d’inanzi a quella fiera ti levai;dante
1;2;256;120;che del bel monte il corto andar ti tolse.;dante
1;2;257;121;Dunque: che è perché, perché restai,;dante
1;2;258;122;perché tanta viltà nel core allette,;dante
1;2;259;123;perché ardire e franchezza non hai,;dante
1;2;260;124;poscia che tai tre donne benedette;dante
1;2;261;125;curan di te ne la corte del cielo,;dante
1;2;262;126;"e ’l mio parlar tanto ben ti promette?"".";dante
1;2;263;127;Quali fioretti dal notturno gelo;dante
1;2;264;128;chinati e chiusi, poi che ’l sol li ’mbianca,;dante
1;2;265;129;si drizzan tutti aperti in loro stelo,;dante
1;2;266;130;tal mi fec’io di mia virtude stanca,;dante
1;2;267;131;e tanto buono ardire al cor mi corse,;dante
1;2;268;132;ch’i’ cominciai come persona franca:;dante
1;2;269;133;"""Oh pietosa colei che mi soccorse!";dante
1;2;270;134;e te cortese ch’ubidisti tosto;dante
1;2;271;135;a le vere parole che ti porse!;dante
1;2;272;136;Tu m’ hai con disiderio il cor disposto;dante
1;2;273;137;sì al venir con le parole tue,;dante
1;2;274;138;ch’i’ son tornato nel primo proposto.;dante
1;2;275;139;Or va, ch’un sol volere è d’ambedue:;dante
1;2;276;140;"tu duca, tu segnore e tu maestro"".";dante
1;2;277;141;"Così li dissi; e poi che mosso fue,";dante
1;2;278;142;intrai per lo cammino alto e silvestro.;dante
1;3;279;1;’Per me si va ne la città dolente,;dante
1;3;280;2;per me si va ne l'etterno dolore,;dante
1;3;281;3;per me si va tra la perduta gente.;dante
1;3;282;4;"Giustizia mosse il mio alto fattore;";dante
1;3;283;5;fecemi la divina podestate,;dante
1;3;284;6;la somma sapïenza e ’l primo amore.;dante
1;3;285;7;Dinanzi a me non fuor cose create;dante
1;3;286;8;se non etterne, e io etterna duro.;dante
1;3;287;9;Lasciate ogne speranza, voi ch’intrate}}’.;dante
1;3;288;10;Queste parole di colore oscuro;dante
1;3;289;11;"vid’ïo scritte al sommo d’una porta;";dante
1;3;290;12;"per ch’io: ""Maestro, il senso lor m’è duro"".";dante
1;3;291;13;Ed elli a me, come persona accorta:;dante
1;3;292;14;"""Qui si convien lasciare ogne sospetto;";dante
1;3;293;15;ogne viltà convien che qui sia morta.;dante
1;3;294;16;Noi siam venuti al loco ov’i’ t’ ho detto;dante
1;3;295;17;che tu vedrai le genti dolorose;dante
1;3;296;18;"c’ hanno perduto il ben de l’intelletto"".";dante
1;3;297;19;E poi che la sua mano a la mia puose;dante
1;3;298;20;con lieto volto, ond’io mi confortai,;dante
1;3;299;21;mi mise dentro a le segrete cose.;dante
1;3;300;22;Quivi sospiri, pianti e alti guai;dante
1;3;301;23;risonavan per l’aere sanza stelle,;dante
1;3;302;24;per ch’io al cominciar ne lagrimai.;dante
1;3;303;25;Diverse lingue, orribili favelle,;dante
1;3;304;26;parole di dolore, accenti d’ira,;dante
1;3;305;27;voci alte e fioche, e suon di man con elle;dante
1;3;306;28;facevano un tumulto, il qual s’aggira;dante
1;3;307;29;sempre in quell’aura sanza tempo tinta,;dante
1;3;308;30;come la rena quando turbo spira.;dante
1;3;309;31;E io ch’avea d’error la testa cinta,;dante
1;3;310;32;"dissi: ""Maestro, che è quel ch’i’ odo?";dante
1;3;311;33;"e che gent’è che par nel duol sì vinta?"".";dante
1;3;312;34;"Ed elli a me: ""Questo misero modo";dante
1;3;313;35;tegnon l’anime triste di coloro;dante
1;3;314;36;che visser sanza ’nfamia e sanza lodo.;dante
1;3;315;37;Mischiate sono a quel cattivo coro;dante
1;3;316;38;de li angeli che non furon ribelli;dante
1;3;317;39;né fur fedeli a Dio, ma per sé fuoro.;dante
1;3;318;40;Caccianli i ciel per non esser men belli,;dante
1;3;319;41;né lo profondo inferno li riceve,;dante
1;3;320;42;"ch’alcuna gloria i rei avrebber d’elli"".";dante
1;3;321;43;"E io: ""Maestro, che è tanto greve";dante
1;3;322;44;"a lor che lamentar li fa sì forte?"".";dante
1;3;323;45;"Rispuose: ""Dicerolti molto breve.";dante
1;3;324;46;Questi non hanno speranza di morte,;dante
1;3;325;47;e la lor cieca vita è tanto bassa,;dante
1;3;326;48;che ’nvidïosi son d’ogne altra sorte.;dante
1;3;327;49;"Fama di loro il mondo esser non lassa;";dante
1;3;328;50;misericordia e giustizia li sdegna:;dante
1;3;329;51;"non ragioniam di lor, ma guarda e passa"".";dante
1;3;330;52;E io, che riguardai, vidi una ’nsegna;dante
1;3;331;53;che girando correva tanto ratta,;dante
1;3;332;54;"che d’ogne posa mi parea indegna;";dante
1;3;333;55;e dietro le venìa sì lunga tratta;dante
1;3;334;56;di gente, ch’i’ non averei creduto;dante
1;3;335;57;che morte tanta n’avesse disfatta.;dante
1;3;336;58;Poscia ch’io v’ebbi alcun riconosciuto,;dante
1;3;337;59;vidi e conobbi l’ombra di colui;dante
1;3;338;60;che fece per viltade il gran rifiuto.;dante
1;3;339;61;Incontanente intesi e certo fui;dante
1;3;340;62;che questa era la setta d’i cattivi,;dante
1;3;341;63;a Dio spiacenti e a’ nemici sui.;dante
1;3;342;64;Questi sciaurati, che mai non fur vivi,;dante
1;3;343;65;erano ignudi e stimolati molto;dante
1;3;344;66;da mosconi e da vespe ch’eran ivi.;dante
1;3;345;67;Elle rigavan lor di sangue il volto,;dante
1;3;346;68;che, mischiato di lagrime, a’ lor piedi;dante
1;3;347;69;da fastidiosi vermi era ricolto.;dante
1;3;348;70;E poi ch’a riguardar oltre mi diedi,;dante
1;3;349;71;"vidi genti a la riva d’un gran fiume;";dante
1;3;350;72;"per ch’io dissi: ""Maestro, or mi concedi";dante
1;3;351;73;ch’i’ sappia quali sono, e qual costume;dante
1;3;352;74;le fa di trapassar parer sì pronte,;dante
1;3;353;75;"com’i’ discerno per lo fioco lume"".";dante
1;3;354;76;"Ed elli a me: ""Le cose ti fier conte";dante
1;3;355;77;quando noi fermerem li nostri passi;dante
1;3;356;78;"su la trista riviera d’Acheronte"".";dante
1;3;357;79;Allor con li occhi vergognosi e bassi,;dante
1;3;358;80;temendo no ’l mio dir li fosse grave,;dante
1;3;359;81;infino al fiume del parlar mi trassi.;dante
1;3;360;82;Ed ecco verso noi venir per nave;dante
1;3;361;83;un vecchio, bianco per antico pelo,;dante
1;3;362;84;"gridando: ""Guai a voi, anime prave!";dante
1;3;363;85;Non isperate mai veder lo cielo:;dante
1;3;364;86;i’ vegno per menarvi a l’altra riva;dante
1;3;365;87;ne le tenebre etterne, in caldo e ’n gelo.;dante
1;3;366;88;E tu che se’ costì, anima viva,;dante
1;3;367;89;"pàrtiti da cotesti che son morti"".";dante
1;3;368;90;Ma poi che vide ch’io non mi partiva,;dante
1;3;369;91;"disse: ""Per altra via, per altri porti";dante
1;3;370;92;verrai a piaggia, non qui, per passare:;dante
1;3;371;93;"più lieve legno convien che ti porti"".";dante
1;3;372;94;"E ’l duca lui: ""Caron, non ti crucciare:";dante
1;3;373;95;vuolsi così colà dove si puote;dante
1;3;374;96;"ciò che si vuole, e più non dimandare}}"".";dante
1;3;375;97;Quinci fuor quete le lanose gote;dante
1;3;376;98;al nocchier de la livida palude,;dante
1;3;377;99;che ’ntorno a li occhi avea di fiamme rote.;dante
1;3;378;100;Ma quell’anime, ch’eran lasse e nude,;dante
1;3;379;101;cangiar colore e dibattero i denti,;dante
1;3;380;102;ratto che ’nteser le parole crude.;dante
1;3;381;103;Bestemmiavano Dio e lor parenti,;dante
1;3;382;104;l’umana spezie e ’l loco e ’l tempo e ’l seme;dante
1;3;383;105;di lor semenza e di lor nascimenti.;dante
1;3;384;106;Poi si ritrasser tutte quante insieme,;dante
1;3;385;107;forte piangendo, a la riva malvagia;dante
1;3;386;108;ch’attende ciascun uom che Dio non teme.;dante
1;3;387;109;Caron dimonio, con occhi di bragia;dante
1;3;388;110;"loro accennando, tutte le raccoglie;";dante
1;3;389;111;batte col remo qualunque s'adagia.}};dante
1;3;390;112;Come d’autunno si levan le foglie;dante
1;3;391;113;l’una appresso de l’altra, fin che ’l ramo;dante
1;3;392;114;vede a la terra tutte le sue spoglie,;dante
1;3;393;115;similemente il mal seme d’Adamo;dante
1;3;394;116;gittansi di quel lito ad una ad una,;dante
1;3;395;117;per cenni come augel per suo richiamo.;dante
1;3;396;118;Così sen vanno su per l’onda bruna,;dante
1;3;397;119;e avanti che sien di là discese,;dante
1;3;398;120;anche di qua nuova schiera s’auna.;dante
1;3;399;121;"""Figliuol mio"", disse 'l maestro cortese,";dante
1;3;400;122;"""quelli che muoion ne l'ira di Dio";dante
1;3;401;123;"tutti convegnon qui d'ogne paese;";dante
1;3;402;124;e pronti sono a trapassar lo rio,;dante
1;3;403;125;ché la divina giustizia li sprona,}};dante
1;3;404;126;sì che la tema si volve in disio.;dante
1;3;405;127;"Quinci non passa mai anima buona;";dante
1;3;406;128;e però, se Caron di te si lagna,;dante
1;3;407;129;"ben puoi sapere omai che ’l suo dir suona"".";dante
1;3;408;130;Finito questo, la buia campagna;dante
1;3;409;131;tremò sì forte, che de lo spavento;dante
1;3;410;132;la mente di sudore ancor mi bagna.;dante
1;3;411;133;La terra lagrimosa diede vento,;dante
1;3;412;134;che balenò una luce vermiglia;dante
1;3;413;135;"la qual mi vinse ciascun sentimento;";dante
1;3;414;136;e caddi come l’uom cui sonno piglia.;dante
1;4;415;1;Ruppemi l’alto sonno ne la testa;dante
1;4;416;2;un greve truono, sì ch’io mi riscossi;dante
1;4;417;3;"come persona ch’è per forza desta;";dante
1;4;418;4;e l’occhio riposato intorno mossi,;dante
1;4;419;5;dritto levato, e fiso riguardai;dante
1;4;420;6;per conoscer lo loco dov’io fossi.;dante
1;4;421;7;Vero è che ’n su la proda mi trovai;dante
1;4;422;8;de la valle d’abisso dolorosa;dante
1;4;423;9;che ’ntrono accoglie d’infiniti guai.;dante
1;4;424;10;Oscura e profonda era e nebulosa;dante
1;4;425;11;tanto che, per ficcar lo viso a fondo,;dante
1;4;426;12;io non vi discernea alcuna cosa.;dante
1;4;427;13;"""Or discendiam qua giù nel cieco mondo"",";dante
1;4;428;14;cominciò il poeta tutto smorto.;dante
1;4;429;15;"""Io sarò primo, e tu sarai secondo"".";dante
1;4;430;16;E io, che del color mi fui accorto,;dante
1;4;431;17;"dissi: ""Come verrò, se tu paventi";dante
1;4;432;18;"che suoli al mio dubbiare esser conforto?"".";dante
1;4;433;19;"Ed elli a me: ""L’angoscia de le genti";dante
1;4;434;20;che son qua giù, nel viso mi dipigne;dante
1;4;435;21;quella pietà che tu per tema senti.;dante
1;4;436;22;"Andiam, ché la via lunga ne sospigne"".";dante
1;4;437;23;Così si mise e così mi fé intrare;dante
1;4;438;24;nel primo cerchio che l’abisso cigne.;dante
1;4;439;25;Quivi, secondo che per ascoltare,;dante
1;4;440;26;non avea pianto mai che di sospiri;dante
1;4;441;27;"che l’aura etterna facevan tremare;";dante
1;4;442;28;ciò avvenia di duol sanza martìri,;dante
1;4;443;29;ch’avean le turbe, ch’eran molte e grandi,;dante
1;4;444;30;d’infanti e di femmine e di viri.;dante
1;4;445;31;"Lo buon maestro a me: ""Tu non dimandi";dante
1;4;446;32;che spiriti son questi che tu vedi?;dante
1;4;447;33;Or vo’ che sappi, innanzi che più andi,;dante
1;4;448;34;"ch’ei non peccaro; e s’elli hanno mercedi,";dante
1;4;449;35;non basta, perché non ebber battesmo,;dante
1;4;450;36;"ch’è porta de la fede che tu credi;";dante
1;4;451;37;e s’e’ furon dinanzi al cristianesmo,;dante
1;4;452;38;non adorar debitamente a Dio:;dante
1;4;453;39;e di questi cotai son io medesmo.;dante
1;4;454;40;Per tai difetti, non per altro rio,;dante
1;4;455;41;semo perduti, e sol di tanto offesi;dante
1;4;456;42;"che sanza speme vivemo in disio"".";dante
1;4;457;43;Gran duol mi prese al cor quando lo ’ntesi,;dante
1;4;458;44;però che gente di molto valore;dante
1;4;459;45;conobbi che ’n quel limbo eran sospesi.;dante
1;4;460;46;"""Dimmi, maestro mio, dimmi, segnore"",";dante
1;4;461;47;comincia’ io per volere esser certo;dante
1;4;462;48;di quella fede che vince ogne errore:;dante
1;4;463;49;"""uscicci mai alcuno, o per suo merto";dante
1;4;464;50;"o per altrui, che poi fosse beato?"".";dante
1;4;465;51;E quei che ’ntese il mio parlar coverto,;dante
1;4;466;52;"rispuose: ""Io era nuovo in questo stato,";dante
1;4;467;53;quando ci vidi venire un possente,;dante
1;4;468;54;con segno di vittoria coronato.;dante
1;4;469;55;Trasseci l’ombra del primo parente,;dante
1;4;470;56;d’Abèl suo figlio e quella di Noè,;dante
1;4;471;57;"di Moïsè legista e ubidente;";dante
1;4;472;58;Abraàm patrïarca e Davìd re,;dante
1;4;473;59;Israèl con lo padre e co’ suoi nati;dante
1;4;474;60;e con Rachele, per cui tanto fé,;dante
1;4;475;61;e altri molti, e feceli beati.;dante
1;4;476;62;E vo’ che sappi che, dinanzi ad essi,;dante
1;4;477;63;"spiriti umani non eran salvati"".";dante
